rating,image,name
4.7,//dimg10.c-ctrip.com/images/fd/hotel/g4/M00/D6/FF/CggYHVaMvb6ARaKPABTWjRmYelU971_R_130_130.jpg,The Capital Hotel Taipei
4.4,//dimg10.c-ctrip.com/images/fd/hotel/g2/M01/70/8B/CghzgVW4dWaANKyEAAIFNv5xW1o920_R_130_130.jpg,Tioi  hostel
3.0,//dimg13.c-ctrip.com/images/fd/hotel/g2/M0A/99/3D/CghzgFVSyK2ANaHiAAD9n6_ATVc006_R_130_130.jpg,台北馆
3.5,//dimg12.c-ctrip.com/images/hotel/140000/139730/860fc8dd759b4ceab1f085c08d1d933a_R_130_130.jpg,KING PLAZA HOTEL
4.8,//dimg13.c-ctrip.com/images/200s0i0000009dedy7832_R_130_130.jpg,Colors Infinity Inn
4.8,//dimg12.c-ctrip.com/images/fd/hotel/g2/M0B/44/DE/Cghzf1W3NkqAG_ptAALt3deWSt8159_R_130_130.jpg,台北复兴北路店
4.6,//dimg13.c-ctrip.com/images/hotel/915000/914107/6d155f6704944a2085f8a09ec84cf258_R_130_130.jpg,Taipei Morning Hotel
3.0,//dimg10.c-ctrip.com/images/fd/hotel/g2/M05/5F/64/Cghzf1U50z2AO5UDAACYMw7Fnzk096_R_130_130.jpg,Fun House
4.3,//dimg10.c-ctrip.com/images/fd/hotel/g5/M09/61/7B/CggYr1cy9L2ASzF6AADH5lyi7NA883_R_130_130.jpg,Ciao Hotel
4.7,//dimg10.c-ctrip.com/images/20020e00000073cd825E2_R_130_130.jpg,Gloria Residence
4.2,//dimg13.c-ctrip.com/images/fd/hotel/g3/M0A/FC/55/CggYGVYAps6AKTiUAANG-0joRuU292_R_130_130.jpg,NEW CONTINENTAL HOTEL
,//dimg10.c-ctrip.com/images/20020i0000009ja46CF93_R_130_130.jpg,台北波赫士馆
3.7,//dimg12.c-ctrip.com/images/fd/hotel/g3/M03/D0/1B/CggYGlX9OnyAaWWKAAK_sJygQ5g736_R_130_130.jpg,Athena Hostel
4.5,//dimg13.c-ctrip.com/images/200m080000002vpcd7DC7_R_130_130.jpg,BEAUTIQUE HOTEL
4.4,//dimg12.c-ctrip.com/images/fd/hotel/g5/M02/AA/5C/CggYsVb4oRuAYFvwAAEaK-vMIjw307_R_130_130.jpg,Vone Hotel
,//dimg10.c-ctrip.com/images/200t0i0000009f70v5F64_R_130_130.jpg,台北居里夫人馆
4.6,//dimg10.c-ctrip.com/images/200c080000003d047495E_R_130_130.jpg,Hotel I-Journey
4.0,//dimg11.c-ctrip.com/images/fd/hotel/g5/M02/A8/B1/CggYr1cW-xaAUjmmAAD0PoAvRLk378_R_130_130.jpg,ART’OTEL
4.5,//dimg10.c-ctrip.com/images/fd/hotel/g4/M0A/ED/03/CggYHlXaheGAUVN2AAERuCxkJ7g547_R_130_130.jpg,Reedon Boutique Hotel
4.4,//dimg10.c-ctrip.com/images/fd/hotel/g1/M08/94/54/CghzflV2TxyAXxVNAADSb2oHkjo362_R_130_130.jpg,FU-HAU HOTEL
